 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99543.6119   -99540.9354   -99540.9354   0.03705   0.00000  0.00000
    2   -99541.3351   -99540.9958   -99540.9958   0.03284   0.00000  0.00000
    3   -99540.6490   -99541.0048   -99541.0048   0.02930   0.00000  0.00000
    4   -99540.9304   -99540.9890   -99540.9890   0.02659   0.00000  0.00000
    5   -99541.2696   -99540.9711   -99540.9711   0.02138   0.00000  0.00000
    6   -99540.9799   -99541.0402   -99541.0402   0.01233   0.00000  0.00000
    7   -99541.0323   -99541.0472   -99541.0472   0.01125   0.00000  0.00000
    8   -99541.0647   -99541.0630   -99541.0630   0.00768   0.00000  0.00000
    9   -99541.1103   -99541.0655   -99541.0655   0.00674   0.00000  0.00000
   10   -99541.1296   -99541.0787   -99541.0787   0.00506   0.00000  0.00000
   11   -99541.1110   -99541.0883   -99541.0883   0.00390   0.00000  0.00000
   12   -99541.0842   -99541.1090   -99541.1090   0.00273   0.00000  0.00000
   13   -99541.0890   -99541.1153   -99541.1153   0.00216   0.00000  0.00000
   14   -99541.1052   -99541.1149   -99541.1149   0.00213   0.00000  0.00000
   15   -99541.1093   -99541.1146   -99541.1146   0.00163   0.00000  0.00000
   16   -99541.1098   -99541.1137   -99541.1137   0.00115   0.00000  0.00000
   17   -99541.1188   -99541.1136   -99541.1136   0.00097   0.00000  0.00000
   18   -99541.1231   -99541.1134   -99541.1134   0.00083   0.00000  0.00000
   19   -99541.1101   -99541.1130   -99541.1130   0.00046   0.00000  0.00000
   20   -99541.1185   -99541.1128   -99541.1128   0.00024   0.00000  0.00000
   21   -99541.1157   -99541.1129   -99541.1129   0.00025   0.00000  0.00000
   22   -99541.1157   -99541.1130   -99541.1130   0.00024   0.00000  0.00000
   23   -99541.1131   -99541.1133   -99541.1133   0.00018   0.00000  0.00000
   24   -99541.1140   -99541.1136   -99541.1136   0.00014   0.00000  0.00000
   25   -99541.1139   -99541.1138   -99541.1138   0.00011   0.00000  0.00000
   26   -99541.1141   -99541.1139   -99541.1139   0.00010   0.00000  0.00000
   27   -99541.1135   -99541.1140   -99541.1140   0.00009   0.00000  0.00000
