 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99541.3790   -99541.1567   -99541.1567   0.00075   0.00000  0.00000
    2   -99541.2094   -99541.1618   -99541.1618   0.00041   0.00000  0.00000
    3   -99541.1421   -99541.1631   -99541.1631   0.00036   0.00000  0.00000
    4   -99541.1509   -99541.1625   -99541.1625   0.00035   0.00000  0.00000
    5   -99541.1659   -99541.1610   -99541.1610   0.00033   0.00000  0.00000
    6   -99541.1658   -99541.1610   -99541.1610   0.00028   0.00000  0.00000
    7   -99541.1567   -99541.1622   -99541.1622   0.00031   0.00000  0.00000
    8   -99541.1624   -99541.1631   -99541.1631   0.00012   0.00000  0.00000
    9   -99541.1647   -99541.1630   -99541.1630   0.00011   0.00000  0.00000
   10   -99541.1619   -99541.1635   -99541.1635   0.00008   0.00000  0.00000
