 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.5889   -99540.4392   -99540.4392   0.00210   0.00000  0.00000
    2   -99540.4855   -99540.4425   -99540.4425   0.00142   0.00000  0.00000
    3   -99540.4377   -99540.4439   -99540.4439   0.00135   0.00000  0.00000
    4   -99540.4719   -99540.4420   -99540.4420   0.00086   0.00000  0.00000
    5   -99540.4210   -99540.4456   -99540.4456   0.00053   0.00000  0.00000
    6   -99540.4748   -99540.4450   -99540.4450   0.00045   0.00000  0.00000
    7   -99540.4761   -99540.4468   -99540.4468   0.00050   0.00000  0.00000
    8   -99540.4514   -99540.4491   -99540.4491   0.00045   0.00000  0.00000
    9   -99540.4497   -99540.4496   -99540.4496   0.00047   0.00000  0.00000
   10   -99540.4514   -99540.4512   -99540.4512   0.00020   0.00000  0.00000
   11   -99540.4503   -99540.4511   -99540.4511   0.00028   0.00000  0.00000
   12   -99540.4490   -99540.4512   -99540.4512   0.00027   0.00000  0.00000
   13   -99540.4512   -99540.4517   -99540.4517   0.00006   0.00000  0.00000
