 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99539.7282   -99539.8933   -99539.8933   0.03994   0.00000  0.00000
    2   -99547.7951   -99539.8938   -99539.8938   0.29084   0.00000  0.00000
    3   -99539.8178   -99539.8916   -99539.8916   0.03439   0.00000  0.00000
    4   -99539.5902   -99539.8896   -99539.8896   0.02786   0.00000  0.00000
    5   -99539.8511   -99539.8663   -99539.8663   0.01843   0.00000  0.00000
    6   -99540.2520   -99539.8536   -99539.8536   0.01704   0.00000  0.00000
    7   -99539.6001   -99539.8854   -99539.8854   0.01492   0.00000  0.00000
    8   -99539.4588   -99539.8888   -99539.8888   0.01398   0.00000  0.00000
    9   -99539.8037   -99539.8171   -99539.8171   0.00769   0.00000  0.00000
   10   -99539.8925   -99539.7806   -99539.7806   0.00435   0.00000  0.00000
   11   -99539.9230   -99539.7767   -99539.7767   0.00288   0.00000  0.00000
   12   -99539.8817   -99539.7832   -99539.7832   0.00244   0.00000  0.00000
   13   -99539.7637   -99539.7974   -99539.7974   0.00360   0.00000  0.00000
   14   -99539.7754   -99539.7985   -99539.7985   0.00362   0.00000  0.00000
   15   -99539.8023   -99539.8006   -99539.8006   0.00188   0.00000  0.00000
   16   -99539.8023   -99539.8006   -99539.8006   0.00185   0.00000  0.00000
   17   -99539.7945   -99539.8015   -99539.8015   0.00098   0.00000  0.00000
   18   -99539.8008   -99539.8011   -99539.8011   0.00055   0.00000  0.00000
   19   -99539.8000   -99539.8012   -99539.8012   0.00047   0.00000  0.00000
   20   -99539.7917   -99539.8016   -99539.8016   0.00038   0.00000  0.00000
   21   -99539.7899   -99539.8004   -99539.8004   0.00042   0.00000  0.00000
   22   -99539.7957   -99539.7994   -99539.7994   0.00028   0.00000  0.00000
   23   -99539.7999   -99539.7990   -99539.7990   0.00020   0.00000  0.00000
   24   -99539.8007   -99539.7989   -99539.7989   0.00018   0.00000  0.00000
   25   -99539.8021   -99539.7987   -99539.7987   0.00022   0.00000  0.00000
   26   -99539.8015   -99539.7988   -99539.7988   0.00019   0.00000  0.00000
   27   -99539.7959   -99539.7991   -99539.7991   0.00014   0.00000  0.00000
   28   -99539.7965   -99539.7991   -99539.7991   0.00013   0.00000  0.00000
   29   -99539.7999   -99539.7988   -99539.7988   0.00004   0.00000  0.00000
