#        z (A)          V_H average (eV)
        0.0000000000  -1.0943785607E+001
        0.0663492063  -1.0639025002E+001
        0.1326984127  -9.7527156993E+000
        0.1990476190  -8.3650506513E+000
        0.2653968254  -6.5972115444E+000
        0.3317460317  -4.5934383007E+000
        0.3980952381  -2.4996578329E+000
        0.4644444444  -4.4412353025E-001
        0.5307936508   1.4748825027E+000
        0.5971428571   3.1923746233E+000
        0.6634920635   4.6727528764E+000
        0.7298412698   5.9022436751E+000
        0.7961904762   6.8809049104E+000
        0.8625396825   7.6159507777E+000
        0.9288888889   8.1168544321E+000
        0.9952380952   8.3920348005E+000
        1.0615873016   8.4467922611E+000
        1.1279365079   8.2822387539E+000
        1.1942857143   7.8950900228E+000
        1.2606349206   7.2782950201E+000
        1.3269841270   6.4225790033E+000
        1.3933333333   5.3190930730E+000
        1.4596825397   3.9634780203E+000
        1.5260317460   2.3616517588E+000
        1.5923809524   5.3726908661E-001
        1.6587301587  -1.4601827582E+000
        1.7250793651  -3.5491810878E+000
        1.7914285714  -5.6154843028E+000
        1.8577777778  -7.5199324695E+000
        1.9241269841  -9.1147570233E+000
        1.9904761905  -1.0264680582E+001
        2.0568253968  -1.0867150979E+001
        2.1231746032  -1.0867150981E+001
        2.1895238095  -1.0264680588E+001
        2.2558730159  -9.1147570333E+000
        2.3222222222  -7.5199324830E+000
        2.3885714286  -5.6154843193E+000
        2.4549206349  -3.5491811067E+000
        2.5212698413  -1.4601827789E+000
        2.5876190476   5.3726906475E-001
        2.6539682540   2.3616517364E+000
        2.7203174603   3.9634779977E+000
        2.7866666667   5.3190930506E+000
        2.8530158730   6.4225789813E+000
        2.9193650794   7.2782949987E+000
        2.9857142857   7.8950900018E+000
        3.0520634921   8.2822387334E+000
        3.1184126984   8.4467922408E+000
        3.1847619048   8.3920347803E+000
        3.2511111111   8.1168544113E+000
        3.3174603175   7.6159507559E+000
        3.3838095238   6.8809048867E+000
        3.4501587302   5.9022436487E+000
        3.5165079365   4.6727528461E+000
        3.5828571429   3.1923745880E+000
        3.6492063492   1.4748824611E+000
        3.7155555556  -4.4412357933E-001
        3.7819047619  -2.4996578903E+000
        3.8482539683  -4.5934383671E+000
        3.9146031746  -6.5972116199E+000
        3.9809523810  -8.3650507356E+000
        4.0473015873  -9.7527157916E+000
        4.1136507937  -1.0639025102E+001
        4.1800000000  -1.0943785711E+001
        4.2463492063  -1.0639025106E+001
        4.3126984127  -9.7527158000E+000
        4.3790476190  -8.3650507477E+000
        4.4453968254  -6.5972116351E+000
        4.5117460317  -4.5934383848E+000
        4.5780952381  -2.4996579098E+000
        4.6444444444  -4.4412359981E-001
        4.7107936508   1.4748824403E+000
        4.7771428571   3.1923745675E+000
        4.8434920635   4.6727528264E+000
        4.9098412698   5.9022436301E+000
        4.9761904762   6.8809048693E+000
        5.0425396825   7.6159507396E+000
        5.1088888889   8.1168543962E+000
        5.1752380952   8.3920347660E+000
        5.2415873016   8.4467922270E+000
        5.3079365079   8.2822387196E+000
        5.3742857143   7.8950899874E+000
        5.4406349206   7.2782949828E+000
        5.5069841270   6.4225789631E+000
        5.5733333333   5.3190930289E+000
        5.6396825397   3.9634779713E+000
        5.7060317460   2.3616517041E+000
        5.7723809524   5.3726902540E-001
        5.8387301587  -1.4601828263E+000
        5.9050793651  -3.5491811629E+000
        5.9714285714  -5.6154843846E+000
        6.0377777778  -7.5199325572E+000
        6.1041269841  -9.1147571160E+000
        6.1704761905  -1.0264680678E+001
        6.2368253968  -1.0867151077E+001
        6.3031746032  -1.0867151080E+001
        6.3695238095  -1.0264680686E+001
        6.4358730159  -9.1147571284E+000
        6.5022222222  -7.5199325742E+000
        6.5685714286  -5.6154844055E+000
        6.6349206349  -3.5491811870E+000
        6.7012698413  -1.4601828528E+000
        6.7676190476   5.3726899774E-001
        6.8339682540   2.3616516766E+000
        6.9003174603   3.9634779454E+000
        6.9666666667   5.3190930062E+000
        7.0330158730   6.4225789452E+000
        7.0993650794   7.2782949711E+000
        7.1657142857   7.8950899832E+000
        7.2320634921   8.2822387239E+000
        7.2984126984   8.4467922405E+000
        7.3647619048   8.3920347892E+000
        7.4311111111   8.1168544294E+000
        7.4974603175   7.6159507828E+000
        7.5638095238   6.8809049223E+000
        7.6301587302   5.9022436925E+000
        7.6965079365   4.6727528977E+000
        7.7628571429   3.1923746472E+000
        7.8292063492   1.4748825276E+000
        7.8955555556  -4.4412350573E-001
        7.9619047619  -2.4996578099E+000
        8.0282539683  -4.5934382802E+000
        8.0946031746  -6.5972115271E+000
        8.1609523810  -8.3650506378E+000
        8.2273015873  -9.7527156901E+000
        8.2936507937  -1.0639024998E+001
