 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.9533   -99540.9529   -99540.9529  0.00211  0.00000  0.00000
    2   -99540.9505   -99540.9528   -99540.9528  0.00192  0.00000  0.00000
    3   -99540.9548   -99540.9528   -99540.9528  0.00191  0.00000  0.00000
    4   -99540.9423   -99540.9531   -99540.9531  0.00161  0.00000  0.00000
    5   -99540.9320   -99540.9528   -99540.9528  0.00150  0.00000  0.00000
    6   -99540.9641   -99540.9497   -99540.9497  0.00121  0.00000  0.00000
    7   -99540.9393   -99540.9524   -99540.9524  0.00150  0.00000  0.00000
    8   -99540.9410   -99540.9505   -99540.9505  0.00062  0.00000  0.00000
    9   -99540.9430   -99540.9501   -99540.9501  0.00031  0.00000  0.00000
   10   -99540.9468   -99540.9489   -99540.9489  0.00030  0.00000  0.00000
   11   -99540.9474   -99540.9487   -99540.9487  0.00031  0.00000  0.00000
   12   -99540.9500   -99540.9472   -99540.9472  0.00010  0.00000  0.00000
   13   -99540.9481   -99540.9474   -99540.9474  0.00008  0.00000  0.00000
