#        z (A)          V_H average (eV)
        0.0000000000   1.4851610329E-001
        0.0800000000   1.4717574650E-001
        0.1600000000   1.4315171055E-001
        0.2400000000   1.3643527758E-001
        0.3200000000   1.2701247743E-001
        0.4000000000   1.1486460772E-001
        0.4800000000   9.9968353294E-002
        0.5600000000   8.2294890450E-002
        0.6400000000   6.1807733573E-002
        0.7200000000   3.8461050179E-002
        0.8000000000   1.2207036560E-002
        0.8800000000  -1.6962439134E-002
        0.9600000000  -4.8887624017E-002
        1.0400000000  -8.2955620660E-002
        1.1200000000  -1.1764172494E-001
        1.2000000000  -1.5008863684E-001
        1.2800000000  -1.7637065069E-001
        1.3600000000  -1.9326916618E-001
        1.4400000000  -2.0086188660E-001
        1.5200000000  -2.0210733772E-001
        1.6000000000  -1.9806655453E-001
        1.6800000000  -1.8608724094E-001
        1.7600000000  -1.6425059683E-001
        1.8400000000  -1.3437741485E-001
        1.9200000000  -1.0036623891E-001
        2.0000000000  -6.5721549870E-002
        2.0800000000  -3.2603573228E-002
        2.1600000000  -2.0169100273E-003
        2.2400000000   2.5699811422E-002
        2.3200000000   5.0494997159E-002
        2.4000000000   7.2405676726E-002
        2.4800000000   9.1480840050E-002
        2.5600000000   1.0776168292E-001
        2.6400000000   1.2128052003E-001
        2.7200000000   1.3206323713E-001
        2.8000000000   1.4013079999E-001
        2.8800000000   1.4549960368E-001
        2.9600000000   1.4818106063E-001
        3.0400000000   1.4818106063E-001
        3.1200000000   1.4549960369E-001
        3.2000000000   1.4013080000E-001
        3.2800000000   1.3206323714E-001
        3.3600000000   1.2128052004E-001
        3.4400000000   1.0776168293E-001
        3.5200000000   9.1480840063E-002
        3.6000000000   7.2405676742E-002
        3.6800000000   5.0494997177E-002
        3.7600000000   2.5699811442E-002
        3.8400000000  -2.0169100050E-003
        3.9200000000  -3.2603573203E-002
        4.0000000000  -6.5721549843E-002
        4.0800000000  -1.0036623889E-001
        4.1600000000  -1.3437741481E-001
        4.2400000000  -1.6425059680E-001
        4.3200000000  -1.8608724091E-001
        4.4000000000  -1.9806655449E-001
        4.4800000000  -2.0210733768E-001
        4.5600000000  -2.0086188656E-001
        4.6400000000  -1.9326916614E-001
        4.7200000000  -1.7637065064E-001
        4.8000000000  -1.5008863680E-001
        4.8800000000  -1.1764172489E-001
        4.9600000000  -8.2955620611E-002
        5.0400000000  -4.8887623967E-002
        5.1200000000  -1.6962439083E-002
        5.2000000000   1.2207036612E-002
        5.2800000000   3.8461050232E-002
        5.3600000000   6.1807733627E-002
        5.4400000000   8.2294890505E-002
        5.5200000000   9.9968353349E-002
        5.6000000000   1.1486460777E-001
        5.6800000000   1.2701247748E-001
        5.7600000000   1.3643527764E-001
        5.8400000000   1.4315171061E-001
        5.9200000000   1.4717574655E-001
        6.0000000000   1.4851610335E-001
        6.0800000000   1.4717574655E-001
        6.1600000000   1.4315171061E-001
        6.2400000000   1.3643527764E-001
        6.3200000000   1.2701247748E-001
        6.4000000000   1.1486460778E-001
        6.4800000000   9.9968353351E-002
        6.5600000000   8.2294890507E-002
        6.6400000000   6.1807733629E-002
        6.7200000000   3.8461050235E-002
        6.8000000000   1.2207036615E-002
        6.8800000000  -1.6962439079E-002
        6.9600000000  -4.8887623964E-002
        7.0400000000  -8.2955620607E-002
        7.1200000000  -1.1764172489E-001
        7.2000000000  -1.5008863679E-001
        7.2800000000  -1.7637065064E-001
        7.3600000000  -1.9326916614E-001
        7.4400000000  -2.0086188655E-001
        7.5200000000  -2.0210733767E-001
        7.6000000000  -1.9806655449E-001
        7.6800000000  -1.8608724090E-001
        7.7600000000  -1.6425059679E-001
        7.8400000000  -1.3437741481E-001
        7.9200000000  -1.0036623888E-001
        8.0000000000  -6.5721549836E-002
        8.0800000000  -3.2603573196E-002
        8.1600000000  -2.0169099984E-003
        8.2400000000   2.5699811448E-002
        8.3200000000   5.0494997184E-002
        8.4000000000   7.2405676748E-002
        8.4800000000   9.1480840069E-002
        8.5600000000   1.0776168294E-001
        8.6400000000   1.2128052005E-001
        8.7200000000   1.3206323714E-001
        8.8000000000   1.4013080000E-001
        8.8800000000   1.4549960369E-001
        8.9600000000   1.4818106064E-001
        9.0400000000   1.4818106064E-001
        9.1200000000   1.4549960369E-001
        9.2000000000   1.4013080000E-001
        9.2800000000   1.3206323713E-001
        9.3600000000   1.2128052004E-001
        9.4400000000   1.0776168293E-001
        9.5200000000   9.1480840054E-002
        9.6000000000   7.2405676730E-002
        9.6800000000   5.0494997164E-002
        9.7600000000   2.5699811426E-002
        9.8400000000  -2.0169100231E-003
        9.9200000000  -3.2603573223E-002
       10.0000000000  -6.5721549866E-002
       10.0800000000  -1.0036623891E-001
       10.1600000000  -1.3437741484E-001
       10.2400000000  -1.6425059682E-001
       10.3200000000  -1.8608724094E-001
       10.4000000000  -1.9806655452E-001
       10.4800000000  -2.0210733771E-001
       10.5600000000  -2.0086188659E-001
       10.6400000000  -1.9326916618E-001
       10.7200000000  -1.7637065068E-001
       10.8000000000  -1.5008863684E-001
       10.8800000000  -1.1764172494E-001
       10.9600000000  -8.2955620657E-002
       11.0400000000  -4.8887624015E-002
       11.1200000000  -1.6962439132E-002
       11.2000000000   1.2207036562E-002
       11.2800000000   3.8461050181E-002
       11.3600000000   6.1807733574E-002
       11.4400000000   8.2294890452E-002
       11.5200000000   9.9968353295E-002
       11.6000000000   1.1486460772E-001
       11.6800000000   1.2701247743E-001
       11.7600000000   1.3643527758E-001
       11.8400000000   1.4315171055E-001
       11.9200000000   1.4717574650E-001
