 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1     -147.9180     -151.9852     -151.9852  0.77467  0.77467  0.00000
    2     -149.8115     -151.5300     -151.5300  0.09157  0.66580  0.00000
    3     -154.8095     -145.5240     -145.5240  0.66010  0.67143  0.00000
    4     -156.3830     -157.4966     -157.4966  0.19332  0.14347  0.00000
    5     -155.6694     -156.7325     -156.7325  0.06753  0.11771  0.00000
    6     -156.9693     -155.7370     -155.7370  0.06832  0.13322  0.00000
    7     -155.9965     -156.8674     -156.8674  0.06462  0.09815  0.00000
    8     -156.4786     -156.0725     -156.0725  0.03620  0.04909  0.00000
    9     -156.4426     -156.4664     -156.4664  0.00347  0.00617  0.00000
   10     -156.4492     -156.4438     -156.4438  0.00271  0.00289  0.00000
   11     -156.4561     -156.4490     -156.4490  0.00218  0.00373  0.00000
   12     -156.4565     -156.4563     -156.4563  0.00111  0.00140  0.00000
   13     -156.4600     -156.4566     -156.4566  0.00075  0.00265  0.00000
   14     -156.4581     -156.4596     -156.4596  0.00029  0.00060  0.00000
   15     -156.4583     -156.4581     -156.4581  0.00020  0.00007  0.00000
   16     -156.4572     -156.4583     -156.4583  0.00019  0.00049  0.00000
   17     -156.4575     -156.4573     -156.4573  0.00009  0.00011  0.00000
   18     -156.4577     -156.4575     -156.4575  0.00003  0.00007  0.00000
    1     -158.9759     -156.4577     -156.4577  0.01753  0.24155  0.00000
    2     -156.1429     -158.2756     -158.2756  0.20727  0.26232  0.00000
    3     -156.8440     -156.6564     -156.6564  0.02220  0.03310  0.00000
    4     -156.7164     -156.8467     -156.8467  0.01295  0.01360  0.00000
    5     -156.7915     -156.7269     -156.7269  0.01002  0.01450  0.00000
    6     -156.7350     -156.7904     -156.7904  0.00778  0.01092  0.00000
    7     -156.7448     -156.7361     -156.7361  0.00273  0.00225  0.00000
    8     -156.7542     -156.7443     -156.7443  0.00119  0.00364  0.00000
    9     -156.7539     -156.7535     -156.7535  0.00019  0.00014  0.00000
   10     -156.7541     -156.7539     -156.7539  0.00017  0.00020  0.00000
   11     -156.7545     -156.7541     -156.7541  0.00014  0.00027  0.00000
   12     -156.7546     -156.7545     -156.7545  0.00006  0.00003  0.00000
    1     -159.2507     -156.7546     -156.7546  0.01749  0.23393  0.00000
    2     -156.9460     -158.6045     -158.6045  0.20635  0.20062  0.00000
    3     -157.2199     -157.4051     -157.4051  0.02083  0.02990  0.00000
    4     -157.2600     -157.2291     -157.2291  0.01267  0.02257  0.00000
    5     -157.1476     -157.2620     -157.2620  0.00893  0.01700  0.00000
    6     -157.2331     -157.1506     -157.1506  0.00615  0.01622  0.00000
    7     -157.1877     -157.2310     -157.2310  0.00571  0.00679  0.00000
    8     -157.1876     -157.1887     -157.1887  0.00053  0.00050  0.00000
    9     -157.1873     -157.1876     -157.1876  0.00030  0.00059  0.00000
   10     -157.1865     -157.1873     -157.1873  0.00018  0.00085  0.00000
   11     -157.1866     -157.1866     -157.1866  0.00020  0.00013  0.00000
   12     -157.1872     -157.1866     -157.1866  0.00019  0.00032  0.00000
   13     -157.1878     -157.1872     -157.1872  0.00008  0.00024  0.00000
   14     -157.1877     -157.1877     -157.1877  0.00003  0.00004  0.00000
    1     -158.8754     -157.1877     -157.1877  0.01755  0.14463  0.00000
    2     -157.6826     -158.6237     -158.6237  0.13510  0.10045  0.00000
    3     -157.7267     -157.8534     -157.8534  0.01819  0.01627  0.00000
    4     -157.7135     -157.7308     -157.7308  0.01267  0.04403  0.00000
    5     -157.6363     -157.7128     -157.7128  0.00814  0.01384  0.00000
    6     -157.6867     -157.6368     -157.6368  0.00683  0.00903  0.00000
    7     -157.6840     -157.6864     -157.6864  0.00105  0.00199  0.00000
    8     -157.6844     -157.6842     -157.6842  0.00070  0.00221  0.00000
    9     -157.6848     -157.6846     -157.6846  0.00053  0.00079  0.00000
   10     -157.6856     -157.6848     -157.6848  0.00046  0.00091  0.00000
   11     -157.6873     -157.6855     -157.6855  0.00027  0.00061  0.00000
   12     -157.6873     -157.6873     -157.6873  0.00012  0.00004  0.00000
   13     -157.6872     -157.6873     -157.6873  0.00010  0.00025  0.00000
   14     -157.6872     -157.6872     -157.6872  0.00001  0.00002  0.00000
    1     -158.1263     -157.6872     -157.6872  0.01752  0.06024  0.00000
    2     -157.8927     -158.1019     -158.1019  0.03875  0.03131  0.00000
    3     -157.8828     -157.9063     -157.9063  0.01644  0.01177  0.00000
    4     -157.8652     -157.8854     -157.8854  0.01242  0.01155  0.00000
    5     -157.8531     -157.8662     -157.8662  0.00868  0.00949  0.00000
    6     -157.8526     -157.8528     -157.8528  0.00163  0.00124  0.00000
    7     -157.8573     -157.8526     -157.8526  0.00144  0.00303  0.00000
    8     -157.8602     -157.8573     -157.8573  0.00058  0.00171  0.00000
    9     -157.8602     -157.8602     -157.8602  0.00012  0.00023  0.00000
   10     -157.8602     -157.8602     -157.8602  0.00009  0.00017  0.00000
   11     -157.8604     -157.8602     -157.8602  0.00007  0.00015  0.00000
   12     -157.8604     -157.8604     -157.8604  0.00002  0.00006  0.00000
    1     -157.8315     -157.8604     -157.8604  0.01752  0.07054  0.00000
    2     -157.8519     -157.8207     -157.8207  0.02340  0.02004  0.00000
    3     -157.8461     -157.8576     -157.8576  0.01421  0.02151  0.00000
    4     -157.8462     -157.8469     -157.8469  0.01105  0.00397  0.00000
    5     -157.8470     -157.8461     -157.8461  0.00868  0.01119  0.00000
    6     -157.8478     -157.8470     -157.8470  0.00130  0.00312  0.00000
    7     -157.8473     -157.8479     -157.8479  0.00085  0.00447  0.00000
    8     -157.8474     -157.8474     -157.8474  0.00008  0.00020  0.00000
    9     -157.8475     -157.8474     -157.8474  0.00005  0.00011  0.00000
   10     -157.8475     -157.8475     -157.8475  0.00003  0.00005  0.00000
    1     -157.4021     -157.8475     -157.8475  0.01754  0.06864  0.00000
    2     -157.6067     -157.3882     -157.3882  0.03857  0.02614  0.00000
    3     -157.6301     -157.6150     -157.6150  0.01572  0.00847  0.00000
    4     -157.6383     -157.6301     -157.6301  0.01243  0.01002  0.00000
    5     -157.6537     -157.6367     -157.6367  0.00865  0.01023  0.00000
    6     -157.6534     -157.6541     -157.6541  0.00162  0.00083  0.00000
    7     -157.6472     -157.6534     -157.6534  0.00146  0.00350  0.00000
    8     -157.6468     -157.6474     -157.6474  0.00019  0.00041  0.00000
    9     -157.6469     -157.6468     -157.6468  0.00007  0.00017  0.00000
   10     -157.6469     -157.6469     -157.6469  0.00005  0.00009  0.00000
    1     -155.3309     -157.6469     -157.6469  0.01750  0.18512  0.00000
    2     -157.2014     -154.8856     -154.8856  0.18638  0.23093  0.00000
    3     -157.1167     -157.4714     -157.4714  0.05334  0.04736  0.00000
    4     -157.0100     -157.1438     -157.1438  0.01297  0.01410  0.00000
    5     -157.0757     -157.0116     -157.0116  0.01062  0.03358  0.00000
    6     -157.0284     -157.0774     -157.0774  0.00575  0.01266  0.00000
    7     -157.1021     -157.0258     -157.0258  0.00985  0.00981  0.00000
    8     -157.1022     -157.1027     -157.1027  0.00132  0.00212  0.00000
    9     -157.1035     -157.1021     -157.1021  0.00109  0.00512  0.00000
   10     -157.1031     -157.1034     -157.1034  0.00051  0.00051  0.00000
   11     -157.1006     -157.1031     -157.1031  0.00041  0.00114  0.00000
   12     -157.1009     -157.1006     -157.1006  0.00021  0.00014  0.00000
   13     -157.1012     -157.1009     -157.1009  0.00017  0.00027  0.00000
   14     -157.1012     -157.1013     -157.1013  0.00004  0.00010  0.00000
