 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1     -156.6463     -151.9852     -151.9852  0.41046  0.41046  0.00000
    2     -156.7188     -152.4321     -152.4321  0.00946  0.37175  0.00000
    3     -157.2368     -156.4927     -156.4927  0.08318  0.10040  0.00000
    4     -157.2348     -157.3035     -157.3035  0.00978  0.00870  0.00000
    5     -157.2394     -157.2369     -157.2369  0.00664  0.00862  0.00000
    6     -157.3095     -157.2410     -157.2410  0.00604  0.01970  0.00000
    7     -157.2838     -157.3090     -157.3090  0.00436  0.00306  0.00000
    8     -157.2845     -157.2838     -157.2838  0.00075  0.00101  0.00000
    9     -157.2849     -157.2844     -157.2844  0.00064  0.00361  0.00000
   10     -157.2833     -157.2848     -157.2848  0.00058  0.00100  0.00000
   11     -157.2835     -157.2833     -157.2833  0.00042  0.00053  0.00000
   12     -157.2834     -157.2835     -157.2835  0.00011  0.00017  0.00000
   13     -157.2833     -157.2834     -157.2834  0.00008  0.00010  0.00000
   14     -157.2834     -157.2833     -157.2833  0.00004  0.00012  0.00000
   15     -157.2834     -157.2834     -157.2834  0.00002  0.00003  0.00000
