 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1    -1772.0076    -1729.1783    -1729.1783  0.56812  0.56812  0.00000
    2    -1770.3551    -1732.7437    -1732.7437  0.06676  0.51726  0.00000
    3    -1739.3526    -1752.8887    -1752.8887  0.63611  0.45638  0.00000
    4    -1748.6206    -1752.3807    -1752.3807  0.15765  0.18374  0.00000
    5    -1750.2525    -1750.0085    -1750.0085  0.03812  0.02408  0.00000
    6    -1750.1979    -1750.2138    -1750.2138  0.02744  0.05174  0.00000
    7    -1749.9859    -1750.2087    -1750.2087  0.00977  0.01522  0.00000
    8    -1750.2034    -1750.0411    -1750.0411  0.00633  0.00822  0.00000
    9    -1750.1396    -1750.1630    -1750.1630  0.00289  0.00127  0.00000
   10    -1750.1495    -1750.1454    -1750.1454  0.00234  0.00142  0.00000
   11    -1750.1492    -1750.1478    -1750.1478  0.00111  0.00241  0.00000
   12    -1750.1512    -1750.1486    -1750.1486  0.00036  0.00023  0.00000
   13    -1750.1506    -1750.1505    -1750.1505  0.00029  0.00027  0.00000
   14    -1750.1496    -1750.1505    -1750.1505  0.00014  0.00018  0.00000
