 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1    -2445.1550    -2496.4156    -2496.4156  0.99410  0.99410  0.00000
    2    -2485.4130    -2484.0025    -2484.0025  1.08276  0.72385  0.00000
    3    -2523.8813    -2448.0995    -2448.0995  2.61160  1.13677  0.00000
    4    -2210.2233    -2258.1715    -2258.1715  7.03543  1.13678  0.00000
    5    -2523.4202    -2457.6174    -2457.6174  2.33719  1.16958  0.00000
    6    -2235.2008    -2282.3354    -2282.3354  6.66440  1.16956  0.00000
    7    -2475.8658    -2479.9570    -2479.9570  1.71802  0.21766  0.00000
    8    -2471.9233    -2470.8769    -2470.8769  2.02287  0.03200  0.00000
    9    -2473.8562    -2473.2781    -2473.2781  1.94446  0.02276  0.00000
   10    -2560.1419    -2474.9214    -2474.9214  1.86859  0.99745  0.00000
   11    -2185.4542    -2234.2213    -2234.2213  7.47786  0.99430  0.00000
   12    -2491.4570    -2490.7761    -2490.7761  1.17858  0.04801  0.00000
   13    -2523.9082    -2492.7993    -2492.7993  1.07404  0.91937  0.00000
   14    -2457.5929    -2437.7845    -2437.7845  3.91272  0.61251  0.00000
   15    -2253.2524    -2265.3735    -2265.3735  6.88236  0.39669  0.00000
   16    -2394.8479    -2393.5591    -2393.5591  4.86186  0.12139  0.00000
   17    -2345.2475    -2380.8662    -2380.8662  5.17471  1.00983  0.00000
   18    -2462.9475    -2459.1031    -2459.1031  2.36213  0.19461  0.00000
   19    -2472.1982    -2469.4140    -2469.4140  2.05258  0.07615  0.00000
   20    -2476.0168    -2475.7619    -2475.7619  1.81884  0.02439  0.00000
   21    -2568.0771    -2476.7857    -2476.7857  1.77902  0.97728  0.00000
   22    -2221.1811    -2225.5087    -2225.5087  7.66528  0.23722  0.00000
   23    -2255.3931    -2299.9596    -2299.9596  6.44601  1.11217  0.00000
   24    -2541.9931    -2493.7121    -2493.7121  1.06710  1.13399  0.00000
   25    -2234.9806    -2282.9672    -2282.9672  6.66775  1.13699  0.00000
   26    -2476.2698    -2475.3800    -2475.3800  1.82242  0.03984  0.00000
   27    -2477.4260    -2477.7559    -2477.7559  1.72776  0.02120  0.00000
   28    -2476.8977    -2476.7139    -2476.7139  1.76639  0.00486  0.00000
   29    -2561.8097    -2477.0584    -2477.0584  1.75134  1.07814  0.00000
   30    -2183.1857    -2230.1189    -2230.1189  7.55915  1.07660  0.00000
   31    -2536.6991    -2504.4304    -2504.4304  0.52214  1.05595  0.00000
   32    -2370.3225    -2369.8106    -2369.8106  6.48617  0.41331  0.00000
   33    -2342.0556    -2376.7162    -2376.7162  5.66207  1.02969  0.00000
   34    -2469.9558    -2468.0027    -2468.0027  2.13994  0.05637  0.00000
   35    -2473.9205    -2473.0258    -2473.0258  1.93068  0.03682  0.00000
   36    -2513.8362    -2475.2978    -2475.2978  1.83353  1.12251  0.00000
   37    -2421.1372    -2376.6556    -2376.6556  6.72648  0.97736  0.00000
   38    -2198.1665    -2205.3214    -2205.3214  8.10324  0.24551  0.00000
   39    -2227.7571    -2276.7842    -2276.7842  6.72892  1.14417  0.00000
   40    -2475.8756    -2475.9681    -2475.9681  1.80169  0.00457  0.00000
   41    -2476.3527    -2475.7500    -2475.7500  1.81025  0.03731  0.00000
   42    -2477.7721    -2477.4374    -2477.4374  1.73595  0.02563  0.00000
   43    -2563.4439    -2478.5979    -2478.5979  1.68430  1.07944  0.00000
   44    -2174.0363    -2229.2066    -2229.2066  7.58296  1.07927  0.00000
   45    -2533.0779    -2481.8820    -2481.8820  1.59619  1.12422  0.00000
   46    -2249.6735    -2298.0722    -2298.0722  6.43447  1.12430  0.00000
   47    -2477.1986    -2476.6696    -2476.6696  1.76369  0.03229  0.00000
   48    -2477.9279    -2478.1575    -2478.1575  1.70895  0.01497  0.00000
   49    -2477.6727    -2477.4343    -2477.4343  1.73475  0.01537  0.00000
   50    -2556.5293    -2478.2143    -2478.2143  1.70636  1.09667  0.00000
   51    -2229.3918    -2236.4504    -2236.4504  7.40741  0.23700  0.00000
   52    -2237.4088    -2286.6650    -2286.6650  6.58866  1.13283  0.00000
   53    -2480.4424    -2480.2388    -2480.2388  1.63433  0.01135  0.00000
   54    -2481.4269    -2480.9148    -2480.9148  1.61116  0.02951  0.00000
   55    -2483.5360    -2482.6727    -2482.6727  1.53824  0.04791  0.00000
   56    -2551.3612    -2485.3526    -2485.3526  1.43822  1.10673  0.00000
   57    -2230.3974    -2249.7354    -2249.7354  7.17856  0.48224  0.00000
   58    -2405.6986    -2431.0899    -2431.0899  4.12526  0.76611  0.00000
   59    -2549.3167    -2505.0443    -2505.0443  0.14247  1.11097  0.00000
   60    -2229.2868    -2274.8278    -2274.8278  6.75292  1.14009  0.00000
   61    -2473.0849    -2471.6078    -2471.6078  1.97051  0.05573  0.00000
   62    -2477.1246    -2475.3225    -2475.3225  1.81219  0.09790  0.00000
   63    -2484.1791    -2480.5848    -2480.5848  1.61827  0.20456  0.00000
   64    -2484.2004    -2491.4407    -2491.4407  1.13460  0.31143  0.00000
   65    -2468.5675    -2468.2814    -2468.2814  2.08856  0.02793  0.00000
   66    -2573.0820    -2469.7993    -2469.7993  2.00084  1.01595  0.00000
   67    -2172.3761    -2216.2052    -2216.2052  7.82744  1.00023  0.00000
   68    -2495.1538    -2506.7096    -2506.7096  0.44506  0.66237  0.00000
   69    -2470.5648    -2468.7706    -2468.7706  2.16148  0.07807  0.00000
   70    -2479.0926    -2474.3266    -2474.3266  1.88265  0.25531  0.00000
   71    -2548.2066    -2488.9954    -2488.9954  1.36522  1.11769  0.00000
   72    -2208.4706    -2259.3184    -2259.3184  6.99687  1.11879  0.00000
   73    -2476.8254    -2476.7318    -2476.7318  1.76606  0.00726  0.00000
   74    -2477.1324    -2477.0260    -2477.0260  1.75303  0.00576  0.00000
   75    -2477.1196    -2477.2688    -2477.2688  1.74547  0.01142  0.00000
   76    -2557.3942    -2476.8123    -2476.8123  1.76440  1.09617  0.00000
   77    -2226.7512    -2234.5398    -2234.5398  7.44555  0.22822  0.00000
   78    -2245.9292    -2293.0604    -2293.0604  6.48974  1.14028  0.00000
   79    -2475.5338    -2475.8266    -2475.8266  1.80964  0.02186  0.00000
   80    -2474.9885    -2474.8619    -2474.8619  1.85709  0.01243  0.00000
