 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1    -2444.8216    -2496.4156    -2496.4156  0.99410  0.99410  0.00000
    2    -2485.3274    -2483.9185    -2483.9185  1.08661  0.72486  0.00000
    3    -2524.6635    -2448.0597    -2448.0597  2.61204  1.13667  0.00000
    4    -2205.9598    -2254.7912    -2254.7912  7.08418  1.13667  0.00000
    5    -2528.0839    -2456.7104    -2456.7104  2.35652  1.16980  0.00000
    6    -2210.0745    -2260.4329    -2260.4329  6.97331  1.16978  0.00000
    7    -2476.1215    -2478.0781    -2478.0781  1.77813  0.12090  0.00000
    8    -2472.1340    -2473.4386    -2473.4386  1.94754  0.04699  0.00000
    9    -2471.0675    -2470.4084    -2470.4084  2.05009  0.02453  0.00000
   10    -2596.1306    -2472.4549    -2472.4549  1.96216  0.86115  0.00000
   11    -2185.1018    -2187.4579    -2187.4579  8.26136  0.28423  0.00000
   12    -2228.4644    -2276.3942    -2276.3942  6.70377  1.14058  0.00000
   13    -2475.8753    -2475.3575    -2475.3575  1.82418  0.02216  0.00000
   14    -2477.2955    -2476.6873    -2476.6873  1.76479  0.02921  0.00000
   15    -2478.7210    -2478.6028    -2478.6028  1.68462  0.00613  0.00000
   16    -2548.9484    -2479.0176    -2479.0176  1.66813  1.09498  0.00000
   17    -2206.3484    -2248.1608    -2248.1608  7.18129  1.00831  0.00000
   18    -2544.0187    -2506.7757    -2506.7757  0.29248  1.00232  0.00000
   19    -2261.3027    -2308.5976    -2308.5976  6.24631  1.10171  0.00000
   20    -2482.7832    -2480.9098    -2480.9098  1.59325  0.10904  0.00000
   21    -2486.4035    -2486.9377    -2486.9377  1.34229  0.03445  0.00000
   22    -2485.3670    -2485.2303    -2485.2303  1.41845  0.00994  0.00000
   23    -2494.4214    -2485.6771    -2485.6771  1.40168  0.58735  0.00000
   24    -2507.3672    -2504.9426    -2504.9426  0.06146  0.14028  0.00000
   25    -2505.1731    -2506.5392    -2506.5392  0.41168  0.06641  0.00000
   26    -2506.1835    -2505.9663    -2505.9663  0.11980  0.03078  0.00000
   27    -2507.3062    -2506.1135    -2506.1135  0.19664  0.08987  0.00000
   28    -2505.7236    -2506.7580    -2506.7580  0.34796  0.04237  0.00000
   29    -2505.4478    -2506.2447    -2506.2447  0.16442  0.03731  0.00000
   30    -2505.2796    -2505.6105    -2505.6105  0.04476  0.02359  0.00000
   31    -2505.5886    -2505.3195    -2505.3195  0.02117  0.05616  0.00000
   32    -2505.5130    -2505.5169    -2505.5169  0.12365  0.02821  0.00000
   33    -2505.3951    -2505.5562    -2505.5562  0.04699  0.01182  0.00000
   34    -2505.3519    -2505.4183    -2505.4183  0.01977  0.01738  0.00000
   35    -2505.3987    -2505.3614    -2505.3614  0.00756  0.02470  0.00000
   36    -2505.4082    -2505.3976    -2505.3976  0.00750  0.01750  0.00000
   37    -2505.4072    -2505.4086    -2505.4086  0.01192  0.00552  0.00000
   38    -2505.1364    -2505.4071    -2505.4071  0.01031  0.01624  0.00000
   39    -2505.4182    -2505.1541    -2505.1541  0.04451  0.01506  0.00000
   40    -2505.4119    -2505.4022    -2505.4022  0.00529  0.00906  0.00000
   41    -2505.3962    -2505.4117    -2505.4117  0.00587  0.00628  0.00000
   42    -2505.4008    -2505.3980    -2505.3980  0.00495  0.00286  0.00000
   43    -2505.3899    -2505.4004    -2505.4004  0.00685  0.00242  0.00000
   44    -2505.3908    -2505.3911    -2505.3911  0.00414  0.00242  0.00000
   45    -2505.3897    -2505.3907    -2505.3907  0.00473  0.00166  0.00000
   46    -2505.3589    -2505.3898    -2505.3898  0.00450  0.00312  0.00000
   47    -2505.3760    -2505.3616    -2505.3616  0.01079  0.00543  0.00000
   48    -2505.4125    -2505.3742    -2505.3742  0.01570  0.00459  0.00000
   49    -2505.4220    -2505.4093    -2505.4093  0.00514  0.00559  0.00000
   50    -2505.4280    -2505.4209    -2505.4209  0.00417  0.00204  0.00000
   51    -2505.4085    -2505.4273    -2505.4273  0.00502  0.00920  0.00000
   52    -2505.4386    -2505.4098    -2505.4098  0.00918  0.00438  0.00000
   53    -2505.4233    -2505.4360    -2505.4360  0.00854  0.00534  0.00000
   54    -2505.3665    -2505.4247    -2505.4247  0.00493  0.00436  0.00000
   55    -2505.4092    -2505.3718    -2505.3718  0.00624  0.00328  0.00000
   56    -2505.4020    -2505.4059    -2505.4059  0.00133  0.00077  0.00000
   57    -2505.3986    -2505.4024    -2505.4024  0.00099  0.00051  0.00000
   58    -2505.3988    -2505.3989    -2505.3989  0.00044  0.00010  0.00000
   59    -2505.4005    -2505.3988    -2505.3988  0.00040  0.00036  0.00000
   60    -2505.3987    -2505.4004    -2505.4004  0.00022  0.00034  0.00000
   61    -2505.3997    -2505.3988    -2505.3988  0.00027  0.00027  0.00000
   62    -2505.3988    -2505.3996    -2505.3996  0.00037  0.00060  0.00000
   63    -2505.3987    -2505.3989    -2505.3989  0.00070  0.00073  0.00000
   64    -2505.3991    -2505.3987    -2505.3987  0.00016  0.00020  0.00000
