 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1    -9133.0188    -9041.2239    -9041.2239  1.71117  1.71117  0.00000
    2    -9133.1394    -9043.9977    -9043.9977  0.03097  1.65981  0.00000
    3    -9120.6756    -9113.9559    -9113.9559  1.01195  0.16709  0.00000
    4    -9141.2175    -9134.5035    -9134.5035  0.60545  0.06404  0.00000
    5    -9152.9118    -9142.4979    -9142.4979  0.39398  0.07321  0.00000
    6    -9145.4136    -9152.6437    -9152.6437  0.25517  0.04777  0.00000
    7    -9152.3821    -9146.1631    -9146.1631  0.19627  0.36032  0.00000
    8    -9140.6464    -9140.6901    -9140.6901  1.51516  0.00095  0.00000
    9    -9127.4758    -9140.6729    -9140.6729  1.51303  0.29140  0.00000
   10    -9140.7128    -9139.2158    -9139.2158  0.18990  0.01724  0.00000
   11    -9141.4380    -9140.5658    -9140.5658  0.26666  0.02374  0.00000
   12    -9141.0481    -9141.0810    -9141.0810  0.36822  0.09093  0.00000
   13    -9144.1356    -9141.8201    -9141.8201  0.07827  0.01438  0.00000
   14    -9144.0547    -9144.0421    -9144.0421  0.03710  0.00843  0.00000
   15    -9144.3641    -9144.0470    -9144.0470  0.06012  0.00431  0.00000
   16    -9144.5433    -9144.3497    -9144.3497  0.04404  0.00812  0.00000
   17    -9144.5945    -9144.5391    -9144.5391  0.01259  0.00276  0.00000
   18    -9144.1416    -9144.5908    -9144.5908  0.01465  0.00811  0.00000
   19    -9144.3515    -9144.1697    -9144.1697  0.02526  0.00663  0.00000
   20    -9144.2962    -9144.3408    -9144.3408  0.00812  0.00186  0.00000
   21    -9144.3184    -9144.2993    -9144.2993  0.00433  0.00093  0.00000
   22    -9144.2943    -9144.3169    -9144.3169  0.00213  0.00032  0.00000
   23    -9144.2778    -9144.2954    -9144.2954  0.00140  0.00038  0.00000
   24    -9144.2466    -9144.2788    -9144.2788  0.00160  0.00052  0.00000
   25    -9144.2435    -9144.2483    -9144.2483  0.00106  0.00028  0.00000
   26    -9144.2411    -9144.2438    -9144.2438  0.00085  0.00019  0.00000
   27    -9144.2494    -9144.2411    -9144.2411  0.00075  0.00060  0.00000
   28    -9144.2548    -9144.2489    -9144.2489  0.00057  0.00060  0.00000
   29    -9144.2529    -9144.2544    -9144.2544  0.00038  0.00048  0.00000
   30    -9144.2535    -9144.2531    -9144.2531  0.00012  0.00003  0.00000
    1    -9144.1986    -9144.2535    -9144.2535  0.01010  0.06464  0.00000
    2    -9143.2658    -9138.8526    -9138.8526  0.55206  0.11679  0.00000
    3    -9144.4059    -9147.1415    -9147.1415  0.29300  0.04350  0.00000
    4    -9144.9677    -9145.4042    -9145.4042  0.04752  0.00395  0.00000
    5    -9144.2665    -9145.0061    -9145.0061  0.03825  0.01013  0.00000
    6    -9144.1809    -9144.3254    -9144.3254  0.01182  0.00922  0.00000
    7    -9144.2466    -9144.1852    -9144.1852  0.03832  0.00382  0.00000
    8    -9144.3517    -9144.2464    -9144.2464  0.02176  0.00440  0.00000
    9    -9144.3168    -9144.3462    -9144.3462  0.00615  0.00357  0.00000
   10    -9144.4133    -9144.3173    -9144.3173  0.01991  0.00444  0.00000
   11    -9144.4116    -9144.4078    -9144.4078  0.00163  0.00026  0.00000
   12    -9144.3506    -9144.4115    -9144.4115  0.00135  0.00143  0.00000
   13    -9144.3546    -9144.3547    -9144.3547  0.00131  0.00022  0.00000
   14    -9144.3503    -9144.3546    -9144.3546  0.00021  0.00007  0.00000
   15    -9144.3520    -9144.3505    -9144.3505  0.00018  0.00003  0.00000
    1    -9144.1539    -9144.3519    -9144.3519  0.01019  0.06397  0.00000
    2    -9143.3932    -9138.9381    -9138.9381  0.54684  0.11608  0.00000
    3    -9144.3359    -9147.0958    -9147.0958  0.29366  0.04333  0.00000
    4    -9144.9367    -9145.3890    -9145.3890  0.04192  0.00388  0.00000
    5    -9144.2610    -9144.9752    -9144.9752  0.03625  0.00837  0.00000
    6    -9144.3204    -9144.3167    -9144.3167  0.00801  0.00399  0.00000
    7    -9144.3552    -9144.3200    -9144.3200  0.01732  0.00319  0.00000
    8    -9144.3722    -9144.3534    -9144.3534  0.00623  0.00057  0.00000
    9    -9144.4036    -9144.3710    -9144.3710  0.00599  0.00145  0.00000
   10    -9144.4447    -9144.4011    -9144.4011  0.00310  0.00092  0.00000
   11    -9144.4274    -9144.4418    -9144.4418  0.00144  0.00024  0.00000
   12    -9144.3734    -9144.4283    -9144.4283  0.00129  0.00134  0.00000
   13    -9144.3760    -9144.3771    -9144.3771  0.00032  0.00011  0.00000
   14    -9144.3755    -9144.3761    -9144.3761  0.00013  0.00005  0.00000
    1    -9144.1156    -9144.3755    -9144.3755  0.01019  0.06431  0.00000
