 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -29330.6583   -30126.8807   -30126.8807  0.93017  0.93017  0.00000
    2   -29330.7906   -30118.9055   -30118.9055  0.03662  0.92090  0.00000
    3   -29234.9539   -29201.6116   -29201.6116  3.64662  0.26768  0.00000
    4   -29386.8018   -29405.2192   -29405.2192  2.48464  0.16558  0.00000
    5   -29554.0255   -29546.6124   -29546.6124  0.78028  0.11720  0.00000
    6   -29613.8249   -29575.1867   -29575.1867  0.48775  0.09410  0.00000
    7   -29614.4334   -29604.0195   -29604.0195  0.64264  0.09294  0.00000
    8   -29623.2696   -29629.6751   -29629.6751  0.34404  0.09702  0.00000
    9   -29605.7259   -29614.6577   -29614.6577  0.81928  0.10231  0.00000
   10   -29587.9740   -29607.4592   -29607.4592  0.75553  0.16749  0.00000
   11   -29568.7006   -29564.5395   -29564.5395  0.98288  0.19739  0.00000
   12   -29595.5797   -29587.9090   -29587.9090  0.68871  0.07368  0.00000
   13   -29597.3161   -29597.4540   -29597.4540  0.59140  0.14050  0.00000
   14   -29574.0584   -29587.8188   -29587.8188  1.14702  0.35452  0.00000
   15   -29555.2981   -29525.3450   -29525.3450  2.00110  0.10385  0.00000
   16   -29555.3989   -29538.2860   -29538.2860  1.97129  0.64544  0.00000
   17   -29600.7281   -29506.8406   -29506.8406  1.51879  0.61862  0.00000
   18   -29582.2169   -29560.7756   -29560.7756  1.70731  0.05979  0.00000
   19   -29648.0408   -29644.0100   -29644.0100  0.76181  0.01083  0.00000
   20   -29631.4487   -29656.2235   -29656.2235  0.58606  0.15455  0.00000
   21   -29643.2217   -29619.6464   -29619.6464  0.87680  0.19940  0.00000
   22   -29563.1390   -29565.8092   -29565.8092  1.78521  0.14986  0.00000
   23   -29651.6918   -29644.1184   -29644.1184  0.23529  0.02792  0.00000
   24   -29651.3197   -29652.6198   -29652.6198  0.12726  0.04132  0.00000
   25   -29649.8439   -29652.0973   -29652.0973  0.14274  0.07201  0.00000
   26   -29664.4817   -29650.6864   -29650.6864  0.10692  0.07149  0.00000
   27   -29655.6508   -29664.1458   -29664.1458  0.15696  0.03773  0.00000
   28   -29656.7564   -29656.4074   -29656.4074  0.05386  0.00165  0.00000
   29   -29655.9106   -29656.8268   -29656.8268  0.04646  0.00415  0.00000
   30   -29651.5882   -29656.0243   -29656.0243  0.04145  0.02561  0.00000
   31   -29653.3824   -29651.9013   -29651.9013  0.03118  0.00368  0.00000
   32   -29653.2698   -29653.3965   -29653.3965  0.02055  0.00109  0.00000
   33   -29653.3758   -29653.2794   -29653.2794  0.01971  0.00176  0.00000
   34   -29653.1603   -29653.3978   -29653.3978  0.01970  0.02337  0.00000
   35   -29653.3124   -29653.3041   -29653.3041  0.01927  0.01334  0.00000
   36   -29654.2773   -29653.3907   -29653.3907  0.01837  0.02762  0.00000
   37   -29652.0153   -29654.3828   -29654.3828  0.01879  0.00560  0.00000
   38   -29653.3124   -29651.9644   -29651.9644  0.02958  0.01267  0.00000
   39   -29653.9748   -29653.3739   -29653.3739  0.01442  0.00531  0.00000
   40   -29652.6579   -29653.9971   -29653.9971  0.01208  0.00639  0.00000
   41   -29654.1642   -29652.6691   -29652.6691  0.02335  0.00586  0.00000
   42   -29654.2684   -29654.1999   -29654.1999  0.00972  0.00153  0.00000
   43   -29654.4968   -29654.2749   -29654.2749  0.00971  0.01444  0.00000
   44   -29654.6888   -29654.5413   -29654.5413  0.00897  0.00554  0.00000
   45   -29654.7352   -29654.7055   -29654.7055  0.00856  0.00131  0.00000
   46   -29654.7272   -29654.7394   -29654.7394  0.00835  0.01143  0.00000
   47   -29654.8443   -29654.7562   -29654.7562  0.00719  0.00302  0.00000
   48   -29654.8437   -29654.8524   -29654.8524  0.00658  0.00317  0.00000
   49   -29654.5964   -29654.8517   -29654.8517  0.00625  0.01817  0.00000
   50   -29654.9939   -29654.6156   -29654.6156  0.00881  0.00198  0.00000
   51   -29655.2141   -29654.9911   -29654.9911  0.00493  0.00078  0.00000
   52   -29655.0865   -29655.2161   -29655.2161  0.00613  0.00272  0.00000
   53   -29655.2803   -29655.0914   -29655.0914  0.00448  0.00337  0.00000
   54   -29655.1964   -29655.2868   -29655.2868  0.00532  0.00092  0.00000
   55   -29655.2716   -29655.1981   -29655.1981  0.00427  0.00304  0.00000
   56   -29655.2189   -29655.2779   -29655.2779  0.00399  0.00040  0.00000
   57   -29655.3209   -29655.2196   -29655.2196  0.00332  0.00557  0.00000
   58   -29655.2955   -29655.3289   -29655.3289  0.00284  0.00333  0.00000
   59   -29655.5604   -29655.2997   -29655.2997  0.00323  0.00297  0.00000
   60   -29655.0845   -29655.5641   -29655.5641  0.00322  0.00515  0.00000
   61   -29655.5110   -29655.0863   -29655.0863  0.00531  0.00284  0.00000
   62   -29655.4967   -29655.5091   -29655.5091  0.00208  0.00051  0.00000
   63   -29655.4213   -29655.4974   -29655.4974  0.00182  0.00624  0.00000
   64   -29655.5988   -29655.4230   -29655.4230  0.00227  0.00084  0.00000
   65   -29655.3364   -29655.5985   -29655.5985  0.00169  0.00187  0.00000
   66   -29655.5589   -29655.3372   -29655.3372  0.00280  0.00148  0.00000
   67   -29655.4552   -29655.5584   -29655.5584  0.00117  0.00096  0.00000
   68   -29655.5377   -29655.4558   -29655.4558  0.00153  0.00016  0.00000
   69   -29655.5319   -29655.5379   -29655.5379  0.00099  0.00217  0.00000
   70   -29655.5511   -29655.5328   -29655.5328  0.00110  0.00012  0.00000
   71   -29655.5466   -29655.5512   -29655.5512  0.00107  0.00011  0.00000
   72   -29655.5271   -29655.5467   -29655.5467  0.00104  0.00065  0.00000
   73   -29655.5281   -29655.5275   -29655.5275  0.00087  0.00018  0.00000
   74   -29655.5268   -29655.5283   -29655.5283  0.00086  0.00074  0.00000
   75   -29655.5504   -29655.5272   -29655.5272  0.00082  0.00073  0.00000
   76   -29655.5307   -29655.5499   -29655.5499  0.00076  0.00069  0.00000
   77   -29655.5237   -29655.5311   -29655.5311  0.00070  0.00034  0.00000
   78   -29655.5200   -29655.5237   -29655.5237  0.00061  0.00027  0.00000
   79   -29655.5187   -29655.5199   -29655.5199  0.00055  0.00012  0.00000
   80   -29655.5204   -29655.5187   -29655.5187  0.00055  0.00004  0.00000
   81   -29655.5214   -29655.5204   -29655.5204  0.00055  0.00007  0.00000
   82   -29655.5209   -29655.5213   -29655.5213  0.00055  0.00016  0.00000
   83   -29655.5214   -29655.5208   -29655.5208  0.00056  0.00005  0.00000
   84   -29655.5245   -29655.5214   -29655.5214  0.00055  0.00028  0.00000
   85   -29655.5262   -29655.5246   -29655.5246  0.00058  0.00028  0.00000
   86   -29655.5253   -29655.5264   -29655.5264  0.00055  0.00003  0.00000
   87   -29655.5211   -29655.5253   -29655.5253  0.00055  0.00034  0.00000
   88   -29655.5212   -29655.5213   -29655.5213  0.00053  0.00016  0.00000
   89   -29655.5217   -29655.5213   -29655.5213  0.00050  0.00020  0.00000
   90   -29655.5158   -29655.5217   -29655.5217  0.00047  0.00062  0.00000
   91   -29655.5190   -29655.5160   -29655.5160  0.00045  0.00017  0.00000
   92   -29655.5164   -29655.5191   -29655.5191  0.00044  0.00026  0.00000
   93   -29655.5173   -29655.5165   -29655.5165  0.00041  0.00016  0.00000
   94   -29655.5199   -29655.5174   -29655.5174  0.00037  0.00012  0.00000
   95   -29655.5182   -29655.5199   -29655.5199  0.00035  0.00024  0.00000
   96   -29655.5190   -29655.5182   -29655.5182  0.00033  0.00024  0.00000
   97   -29655.5196   -29655.5191   -29655.5191  0.00030  0.00011  0.00000
   98   -29655.5220   -29655.5196   -29655.5196  0.00029  0.00020  0.00000
   99   -29655.5215   -29655.5221   -29655.5221  0.00027  0.00003  0.00000
  100   -29655.5205   -29655.5215   -29655.5215  0.00027  0.00005  0.00000
  101   -29655.5226   -29655.5205   -29655.5205  0.00026  0.00010  0.00000
  102   -29655.5216   -29655.5227   -29655.5227  0.00025  0.00001  0.00000
  103   -29655.5154   -29655.5216   -29655.5216  0.00024  0.00078  0.00000
  104   -29655.5186   -29655.5155   -29655.5155  0.00025  0.00004  0.00000
  105   -29655.5225   -29655.5186   -29655.5186  0.00021  0.00065  0.00000
  106   -29655.5278   -29655.5224   -29655.5224  0.00016  0.00011  0.00000
  107   -29655.5288   -29655.5278   -29655.5278  0.00011  0.00018  0.00000
  108   -29655.5255   -29655.5288   -29655.5288  0.00011  0.00002  0.00000
  109   -29655.5292   -29655.5255   -29655.5255  0.00012  0.00028  0.00000
  110   -29655.5303   -29655.5293   -29655.5293  0.00009  0.00004  0.00000
