 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1    -4535.0153    -4528.9444    -4528.9444  0.02107  0.00000  0.00000
    2    -3685.2587    -4532.9610    -4532.9610  5.61963  0.00000  0.00000
    3    -4522.4426    -4529.0673    -4529.0673  0.01972  0.00000  0.00000
    4    -4528.3590    -4528.9984    -4528.9984  0.01176  0.00000  0.00000
    5    -4528.6633    -4528.9705    -4528.9705  0.01076  0.00000  0.00000
    6    -4529.9077    -4528.9371    -4528.9371  0.00960  0.00000  0.00000
    7    -4529.2924    -4528.9538    -4528.9538  0.00687  0.00000  0.00000
    8    -4527.8721    -4528.9979    -4528.9979  0.00517  0.00000  0.00000
    9    -4529.5277    -4528.9533    -4528.9533  0.00647  0.00000  0.00000
   10    -4528.9054    -4528.9752    -4528.9752  0.00314  0.00000  0.00000
