#        z (A)          V_H average (eV)
        0.0000000000  -1.1081389364E+001
        0.0837575758  -1.0588003528E+001
        0.1675151515  -9.1796074326E+000
        0.2512727273  -7.0557694817E+000
        0.3350303030  -4.4980135733E+000
        0.4187878788  -1.8039640389E+000
        0.5025454545   7.7469715462E-001
        0.5863030303   3.0662673109E+000
        0.6700606061   4.9791889008E+000
        0.7538181818   6.4812292282E+000
        0.8375757576   7.5742282792E+000
        0.9213333333   8.2738174238E+000
        1.0050909091   8.5961433901E+000
        1.0888484848   8.5502692483E+000
        1.1726060606   8.1348412201E+000
        1.2563636364   7.3385602656E+000
        1.3401212121   6.1445056006E+000
        1.4238787879   4.5389872475E+000
        1.5076363636   2.5265096879E+000
        1.5913939394   1.5171244261E-001
        1.6751515152  -2.4752555252E+000
        1.7589090909  -5.1614779328E+000
        1.8426666667  -7.6392192423E+000
        1.9264242424  -9.6084245950E+000
        2.0101818182  -1.0802350188E+001
        2.0939393939  -1.1050191740E+001
        2.1776969697  -1.0315822857E+001
        2.2614545455  -8.7056577470E+000
        2.3452121212  -6.4451201333E+000
        2.4289696970  -3.8262720647E+000
        2.5127272727  -1.1402962374E+000
        2.5964848485   1.3793349185E+000
        2.6802424242   3.5820679343E+000
        2.7640000000   5.3935477817E+000
        2.8477575758   6.7923253958E+000
        2.9315151515   7.7853102614E+000
        3.0152727273   8.3892534053E+000
        3.0990303030   8.6190595608E+000
        3.1827878788   8.4813491865E+000
        3.2665454545   7.9720909009E+000
        3.3503030303   7.0780178163E+000
        3.4340606061   5.7819799928E+000
        3.5178181818   4.0731571583E+000
        3.6015757576   1.9637832829E+000
        3.6853333333  -4.8745303418E-001
        3.7690909091  -3.1506399185E+000
        3.8528484848  -5.8120871529E+000
        3.9366060606  -8.1907214293E+000
        4.0203636364  -9.9883027411E+000
        4.1041212121  -1.0956889587E+001
        4.1878787879  -1.0956889587E+001
        4.2716363636  -9.9883027418E+000
        4.3553939394  -8.1907214304E+000
        4.4391515152  -5.8120871544E+000
        4.5229090909  -3.1506399204E+000
        4.6066666667  -4.8745303647E-001
        4.6904242424   1.9637832802E+000
        4.7741818182   4.0731571551E+000
        4.8579393939   5.7819799892E+000
        4.9416969697   7.0780178123E+000
        5.0254545455   7.9720908964E+000
        5.1092121212   8.4813491815E+000
        5.1929696970   8.6190595553E+000
        5.2767272727   8.3892533992E+000
        5.3604848485   7.7853102549E+000
        5.4442424242   6.7923253888E+000
        5.5280000000   5.3935477741E+000
        5.6117575758   3.5820679261E+000
        5.6955151515   1.3793349098E+000
        5.7792727273  -1.1402962466E+000
        5.8630303030  -3.8262720745E+000
        5.9467878788  -6.4451201434E+000
        6.0305454545  -8.7056577574E+000
        6.1143030303  -1.0315822868E+001
        6.1980606061  -1.1050191750E+001
        6.2818181818  -1.0802350198E+001
        6.3655757576  -9.6084246055E+000
        6.4493333333  -7.6392192525E+000
        6.5330909091  -5.1614779425E+000
        6.6168484848  -2.4752555344E+000
        6.7006060606   1.5171243392E-001
        6.7843636364   2.5265096798E+000
        6.8681212121   4.5389872400E+000
        6.9518787879   6.1445055937E+000
        7.0356363636   7.3385602593E+000
        7.1193939394   8.1348412143E+000
        7.2031515152   8.5502692431E+000
        7.2869090909   8.5961433854E+000
        7.3706666667   8.2738174196E+000
        7.4544242424   7.5742282755E+000
        7.5381818182   6.4812292249E+000
        7.6219393939   4.9791888980E+000
        7.7056969697   3.0662673085E+000
        7.7894545455   7.7469715257E-001
        7.8732121212  -1.8039640406E+000
        7.9569696970  -4.4980135746E+000
        8.0407272727  -7.0557694827E+000
        8.1244848485  -9.1796074333E+000
        8.2082424242  -1.0588003528E+001
